Networks	Total	pValue	Min FDR	p-value	FDR	In Data	"Network Objects from Active Data"
Reproduction_FSH-beta signaling pathway	160	2.177E-01	5.943E-01	2.177E-01	5.943E-01	2	c-Src, Pyk2(FAK2)
Reproduction_GnRH signaling pathway	166	2.299E-01	6.085E-01	2.299E-01	6.085E-01	2	c-Src, Pyk2(FAK2)
Neurophysiological process_Corticoliberin signaling	49	2.363E-01	6.085E-01	2.363E-01	6.085E-01	1	CACNA1C
Cell adhesion_Platelet-endothelium-leucocyte interactions	174	2.461E-01	6.085E-01	2.461E-01	6.085E-01	2	c-Src, CD40(TNFRSF5)
Signal transduction_WNT signaling	177	2.523E-01	6.085E-01	2.523E-01	6.085E-01	2	c-Src, PTEN
Development_Regulation of telomere length	53	2.530E-01	6.085E-01	2.530E-01	6.085E-01	1	TEP1
Autophagy_Autophagy	55	2.612E-01	6.136E-01	2.612E-01	6.136E-01	1	PTEN
Inflammation_Jak-STAT Pathway	186	2.706E-01	6.136E-01	2.706E-01	6.136E-01	2	TNF-beta, CD40(TNFRSF5)
Development_Keratinocyte differentiation	58	2.734E-01	6.136E-01	2.734E-01	6.136E-01	1	c-Src
Transport_Calcium transport	192	2.829E-01	6.212E-01	2.829E-01	6.212E-01	2	Pyk2(FAK2), CACNA1C
Reproduction_Feeding and Neurohormone signaling 	210	3.196E-01	6.283E-01	3.196E-01	6.283E-01	2	c-Src, CACNA1C
Regulation of metabolism_Bile acid regulation of lipid metabolism and negative FXR-dependent regulation of bile acids concentration	71	3.238E-01	6.283E-01	3.238E-01	6.283E-01	1	FASN
Signal transduction_Androgen receptor signaling cross-talk	72	3.276E-01	6.283E-01	3.276E-01	6.283E-01	1	c-Src
Inflammation_Complement system	75	3.386E-01	6.283E-01	3.386E-01	6.283E-01	1	CD21
