Networks	Total	pValue	Min FDR	p-value	FDR	In Data	"Network Objects from Active Data"
Transcription_mRNA processing	149	7.815E-02	4.755E-01	7.815E-02	4.755E-01	5	ZNF162, GRSF1, FBP21, Poly(A) polymerase, LSM3
Reproduction_GnRH signaling pathway	66	8.053E-02	4.755E-01	8.053E-02	4.755E-01	3	Calmodulin, c-Src, Pyk2(FAK2)
Inflammation_IFN-gamma signaling	73	1.016E-01	5.568E-01	1.016E-01	5.568E-01	3	Calmodulin, c-Src, Pyk2(FAK2)
Signal transduction_WNT signaling	118	1.074E-01	5.568E-01	1.074E-01	5.568E-01	4	Calmodulin, PTEN, c-Src, MEK4(MAP2K4)
Development_Keratinocyte differentiation	37	1.104E-01	5.568E-01	1.104E-01	5.568E-01	2	c-Src, MEK4(MAP2K4)
Reproduction_Feeding and Neurohormone signaling 	120	1.124E-01	5.568E-01	1.124E-01	5.568E-01	4	Calmodulin, CACNA1C, c-Src, PTPN2
Cell adhesion_Cadherins	125	1.255E-01	5.568E-01	1.255E-01	5.568E-01	4	PTEN, c-Src, PTPRF (LAR), R-cadherin
Cell adhesion_Platelet aggregation	83	1.351E-01	5.568E-01	1.351E-01	5.568E-01	3	Calmodulin, c-Src, Pyk2(FAK2)
Development_Regulation of telomere length	42	1.361E-01	5.568E-01	1.361E-01	5.568E-01	2	TEP1, TRF2
Cell adhesion_Glycoconjugates	84	1.386E-01	5.568E-01	1.386E-01	5.568E-01	3	c-Src, Pyk2(FAK2), CCL21
Transport_Calcium transport	85	1.422E-01	5.568E-01	1.422E-01	5.568E-01	3	Calmodulin, CACNA1C, Pyk2(FAK2)
Cytoskeleton_Regulation of cytoskeleton rearrangement	132	1.448E-01	5.568E-01	1.448E-01	5.568E-01	4	FGD3, PTEN, c-Src, PKC-lambda/iota
Immune response_BCR pathway	86	1.458E-01	5.568E-01	1.458E-01	5.568E-01	3	Calmodulin, PTEN, CD21
Chemotaxis	88	1.531E-01	5.568E-01	1.531E-01	5.568E-01	3	ROBO2, CCR3, CCL21
Cardiac development_Wnt_beta-catenin, Notch, VEGF, IP3 and integrin signaling	89	1.568E-01	5.568E-01	1.568E-01	5.568E-01	3	Calmodulin, PTEN, c-Src
Neurophysiological process_Melatonin signaling	11	1.572E-01	5.568E-01	1.572E-01	5.568E-01	1	Calmodulin
Autophagy_Autophagy	47	1.629E-01	5.610E-01	1.629E-01	5.610E-01	2	TRAM, PTEN
Signal transduction_Nitric oxide signaling	48	1.684E-01	5.642E-01	1.684E-01	5.642E-01	2	Calmodulin, c-Src
Cardiac development_Role of NADPH oxidase and ROS	94	1.756E-01	5.683E-01	1.756E-01	5.683E-01	3	PTEN, c-Src, MEK4(MAP2K4)
Inflammation_NK cell cytotoxicity	95	1.795E-01	5.683E-01	1.795E-01	5.683E-01	3	Calmodulin, Pyk2(FAK2), HLA-E
Cell adhesion_Cell junctions	96	1.833E-01	5.683E-01	1.833E-01	5.683E-01	3	PTEN, c-Src, R-cadherin
Cell cycle_G0-G1	52	1.906E-01	5.763E-01	1.906E-01	5.763E-01	2	E2F6, E2F5
Apoptosis_Apoptosis stimulation by external signals	104	2.151E-01	6.160E-01	2.151E-01	6.160E-01	3	TNF-beta, MEK4(MAP2K4), Pyk2(FAK2)
Signal transduction_Androgen receptor nuclear signaling	104	2.151E-01	6.160E-01	2.151E-01	6.160E-01	3	Calmodulin, PTEN, c-Src
Proliferation_Positive regulation cell proliferation	156	2.186E-01	6.160E-01	2.186E-01	6.160E-01	4	c-Src, MEK4(MAP2K4), CCR3, Pyk2(FAK2)
Signal Transduction_TGF-beta, GDF and Activin signaling	109	2.355E-01	6.250E-01	2.355E-01	6.250E-01	3	Calmodulin, c-Src, Pyk2(FAK2)
Immune response_TCR signaling	109	2.355E-01	6.250E-01	2.355E-01	6.250E-01	3	Calmodulin, MEK4(MAP2K4), GRAP2
Signal transduction_Neuropeptide signaling pathways	62	2.475E-01	6.250E-01	2.475E-01	6.250E-01	2	Calmodulin, c-Src
Apoptosis_Apoptotic mitochondria	62	2.475E-01	6.250E-01	2.475E-01	6.250E-01	2	BOK, Mitofusin 2
Signal transduction_ESR1-nuclear pathway	165	2.486E-01	6.250E-01	2.486E-01	6.250E-01	4	c-Src, Cyclin G2, CD21, FAP-1
Immune response_Phagosome in antigen presentation	166	2.520E-01	6.250E-01	2.520E-01	6.250E-01	4	Tapasin, Pyk2(FAK2), CD21, HLA-Cw3
