Networks	Total	pValue	Min FDR	p-value	FDR	In Data	"Network Objects from Active Data"
Signal transduction_Neuropeptide signaling pathways	62	2.431E-01	9.237E-01	2.431E-01	9.237E-01	3	Elk-1, Polycystin, PKC-epsilon
Cell adhesion_Cadherins	125	2.607E-01	9.474E-01	2.607E-01	9.474E-01	5	c-Abl, Ski, Reelin, PTEN, ARVCF
Cell adhesion_Cell junctions	96	2.716E-01	9.474E-01	2.716E-01	9.474E-01	4	Alpha-fodrin, PKC-zeta, PTEN, ARVCF
Cell cycle_Meiosis	66	2.730E-01	9.474E-01	2.730E-01	9.474E-01	3	Separase, MSH5, 14-3-3 sigma
Development_EMT_Regulation of epithelial-to-mesenchymal transition	160	2.778E-01	9.474E-01	2.778E-01	9.474E-01	6	c-Abl, Elk-1, PTEN, NOTCH4, Tuberin, LIMK2
Reproduction_FSH-beta signaling pathway	99	2.902E-01	9.509E-01	2.902E-01	9.509E-01	4	ALK-4, GRK6, Tuberin, ActRIIB
Development_Neurogenesis_Synaptogenesis	100	2.964E-01	9.509E-01	2.964E-01	9.509E-01	4	SynGAP, Semaphorin 4G, RIMS3, Bassoon
Muscle contraction_Relaxin signaling	40	3.022E-01	9.509E-01	3.022E-01	9.509E-01	2	PKC-zeta, PDE4C
Cytoskeleton_Intermediate filaments	41	3.125E-01	9.509E-01	3.125E-01	9.509E-01	2	Lamin A/C, Nesprin 1
Cell cycle_G1-S Growth factor regulation	135	3.146E-01	9.509E-01	3.146E-01	9.509E-01	5	RGL2, Ski, JunB, PKC-epsilon, ActRIIB
Cell cycle_G1-S	137	3.256E-01	9.622E-01	3.256E-01	9.622E-01	5	c-Abl, LATS2, GAS1, Tuberin, 14-3-3 sigma
Inflammation_IL-4 signaling	74	3.338E-01	9.652E-01	3.338E-01	9.652E-01	3	c-Abl, Elk-1, PTEN
Cell cycle_Mitosis	144	3.643E-01	9.759E-01	3.643E-01	9.759E-01	5	NUMA1, HDAC6, Separase, Dynamin-1, CENP-B
Cell adhesion_Glycoconjugates	84	4.095E-01	9.759E-01	4.095E-01	9.759E-01	3	Stabilin-1, Siglec-10, Fibulin-2
Reproduction_Feeding and Neurohormone signaling 	120	4.226E-01	9.759E-01	4.226E-01	9.759E-01	4	Elk-1, Tuberin, PKC-epsilon, LAMG1
Reproduction_Male sex differentiation	156	4.307E-01	9.759E-01	4.307E-01	9.759E-01	5	TESK2, HSPA1L, PKC-zeta, TLE3, Lamin A/C
