CMB31.Poly	CMB9.Poly	Ctrl6.Poly	CX2.Poly	EV12.Poly	CMB8.Poly	Ctrl33.Poly	Ctrl38.Poly	EV26.Poly	EV4.Poly	CX14.Poly	CX39.Poly
Abhd10	309	206	271	247	334	173	231	190	179	184	237	354
Abhd11	605	642	413	359	550	300	367	291	331	306	963	1255
Abhd11os	3	2	0	1	1	0	1	2	1	1	0	0
Abhd12	557	511	551	524	726	415	662	445	593	390	667	883
Abhd12b	5	1	3	1	5	4	1	2	4	2	5	7
Abhd13	685	503	849	895	885	397	875	665	668	615	708	1109
Abhd14a	689	587	560	635	832	430	545	382	498	357	995	1272
Abhd14b	57	52	62	50	115	50	60	40	51	44	271	320
Abhd15	76	68	50	70	72	63	47	33	28	29	191	224
Abhd16a	1574	1175	883	1066	1303	879	801	770	713	666	1658	1850
Abhd16b	0	0	3	0	0	2	0	0	0	1	0	1
Abhd17a	1289	1104	1024	1032	1560	499	643	422	496	545	3218	3393
Abhd17b	451	388	570	428	592	309	576	418	567	464	617	957
Abhd17c	550	443	513	631	767	312	474	339	444	339	1176	1543
Abhd2	1129	768	1187	1156	1455	850	1273	1055	1099	940	1143	1644
Abhd3	0	2	0	0	0	0	0	0	0	0	0	0
Abhd4	206	215	156	167	266	150	125	105	144	144	363	395
Abhd5	30	32	40	49	56	39	42	36	23	29	31	45
Abhd6	120	124	109	190	258	121	106	86	106	99	100	135
Abhd8	723	546	386	562	824	246	306	255	319	320	1455	1487
Abi1	1694	1504	2377	2276	2567	1403	2202	1933	1891	1849	1500	2154
Abi2	27	65	51	17	10	16	57	30	13	13	80	185
Abi3	276	200	400	190	327	164	321	260	275	224	368	369
Abi3bp	3	0	2	7	2	4	0	3	0	0	2	1
Abl1	3093	2530	3210	3473	4670	2335	3250	2450	2527	2556	4264	5258
Abl2	2927	2015	2700	3220	3453	1786	2790	2040	1968	1809	4685	6438
Ablim1	4004	3415	4486	4164	5897	2571	4758	3532	4102	3332	4207	5915
Ablim2	0	1	3	4	3	1	1	1	1	1	4	3
Ablim3	0	1	0	0	2	0	0	0	0	0	0	0
Abo	0	0	0	0	1	0	0	0	0	0	0	0
Abr	247	161	359	325	505	222	351	203	360	275	522	775
Abra	0	0	0	0	0	0	0	0	0	0	1	2
Abracl	410	346	645	467	525	306	608	429	416	492	452	516
Abt1	732	642	613	686	831	309	537	447	375	343	973	1223
Abtb1	358	407	328	347	696	257	201	171	328	240	543	674
Abtb2	9	1	6	9	6	7	11	5	4	7	33	27
AC021667.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087559.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092202.4	4	2	0	2	5	2	0	0	0	0	0	0
AC098736.2	520	367	395	342	381	169	292	298	194	178	0	0
AC102446.1	8	4	4	4	2	2	4	1	1	4	0	0
AC102860.3	4	4	0	2	7	2	1	2	5	5	0	0
AC118721.1	6698	5645	2706	4504	5496	4858	2370	2358	3276	2836	0	0
AC123873.1	0	0	0	1	0	0	0	0	0	0	0	0
AC123873.2	0	0	0	0	0	0	0	0	0	0	0	0
AC124496.1	2	0	0	0	0	2	0	0	0	0	0	0
AC124606.1	0	0	0	0	0	0	0	0	0	0	0	0
AC124606.2	0	0	0	0	0	0	0	0	0	0	0	0
AC125149.1	67	31	63	75	109	62	34	49	62	69	40	47
AC125149.2	34	21	37	43	86	41	33	18	38	37	18	21
AC125149.3	71	71	73	92	91	53	42	55	41	53	30	49
AC125149.4	13	8	17	22	25	25	21	7	14	16	26	32
AC125178.1	0	0	0	0	0	0	0	0	0	1	0	0
AC125178.3	1	1	0	0	0	0	0	1	0	0	0	0
AC126035.1	0	0	0	0	0	0	0	0	0	0	0	0
AC127262.1	0	0	0	0	0	0	0	0	0	0	0	0
AC132444.1	49	29	53	76	62	51	43	43	53	41	24	26
AC132444.2	9	10	13	16	17	8	7	9	17	13	28	29
AC132444.3	19	17	10	18	16	23	17	23	16	16	28	41
AC132444.4	9	11	14	15	24	9	9	10	11	12	23	17
AC132444.5	17	13	7	15	29	10	3	0	6	6	9	24
AC132444.6	293	220	285	324	251	156	168	180	126	190	302	398
AC133095.1	0	0	0	0	0	0	0	0	0	0	0	0
AC133095.2	0	0	0	0	0	0	0	0	0	0	0	0
AC133103.1	256	150	169	248	323	159	93	88	135	170	179	275
AC133103.2	7	7	0	4	12	12	2	2	1	3	2	4
AC133103.3	10	21	9	30	24	16	17	8	18	16	10	9
AC133103.4	15	14	16	22	20	22	16	14	20	18	19	38
AC133103.5	71	79	92	103	87	53	39	54	36	50	49	60
AC133103.6	14	17	11	6	21	13	10	7	6	11	19	31
AC133103.7	7	7	8	7	12	4	15	7	6	5	16	28
AC140325.1	0	0	0	0	0	0	0	0	0	0	0	0
AC140325.2	0	0	0	0	0	0	0	0	0	0	0	0
AC140325.3	1	0	0	0	0	0	0	0	0	0	0	0
AC140365.1	0	0	0	0	0	0	0	0	0	0	0	0
AC147266.1	0	0	0	0	0	0	0	0	0	0	0	0
AC158361.1	0	0	0	0	0	0	0	0	0	0	0	0
AC158361.2	0	0	0	0	0	0	0	0	0	0	0	0
AC158361.4	0	0	0	0	0	0	0	0	0	0	0	0
AC158361.5	0	0	0	0	0	0	0	0	0	0	0	0
AC161246.1	3	1	3	2	1	2	9	1	1	2	0	0
AC163611.1	0	0	0	1	0	0	0	0	0	0	0	0
AC164084.1	0	0	0	0	0	0	0	0	0	0	0	0
AC164084.2	0	0	0	1	0	0	0	0	0	0	0	0
AC165294.1	0	0	1	0	0	0	0	0	0	0	0	0
AC165294.2	0	0	0	0	0	0	0	0	0	0	0	0
AC168977.1	434	387	520	737	784	455	408	325	501	396	179	217
AC168977.2	17	7	17	37	22	12	11	17	11	25	10	18
AC234645.1	0	2	1	1	1	0	0	0	0	0	0	0
Acaa1a	470	385	394	372	557	293	344	318	292	275	798	949
Acaa1b	66	53	49	40	75	22	33	27	37	48	186	192
Acaa2	1318	989	1004	932	1062	881	1054	869	813	691	1742	2036
Acaca	5459	3962	4557	4637	5260	3744	4513	3410	3776	3337	6307	7636
Acacb	36	40	149	37	140	68	195	141	125	91	56	88
Acad10	149	248	212	143	318	118	166	147	148	120	288	357
Acad11	302	276	287	316	337	265	294	257	225	236	325	401
Acad12	51	94	66	48	97	43	61	59	36	32	146	193
Acad8	270	253	219	187	321	169	207	188	137	129	408	463
Acad9	1563	1343	1064	1258	1383	1069	1013	796	658	719	2054	2392
Acadl	1847	1553	2129	1549	1868	1269	1761	1825	1261	1281	1620	2008
Acadm	1210	964	979	1184	1124	898	969	815	571	691	632	829
Acads	1646	1924	1125	1157	1476	1024	963	884	917	813	3099	3578
Acadsb	227	203	129	176	154	110	149	148	126	121	194	233
Acadvl	866	543	521	504	579	443	418	391	322	313	1348	1546
Acan	0	1	0	0	0	0	0	0	0	1	0	0
Acap1	1713	1188	1971	1506	1941	1164	1646	1396	1252	1341	4168	5197
Acap2	708	669	1270	1045	1118	573	1006	950	727	797	1148	1485
Acap3	734	602	749	757	921	415	647	502	550	517	1115	1324
Acat1	2834	2113	2371	2394	2574	1672	2034	1975	1705	1579	2608	3535
Acat2	769	669	811	674	869	559	865	831	597	605	1604	2159
Acat3	134	110	117	109	137	94	113	109	80	100	503	624
Acbd3	991	991	958	1636	1426	821	942	880	815	889	1166	1612
Acbd4	152	151	140	140	239	123	124	104	136	122	149	235
Acbd5	520	404	457	452	364	306	331	307	258	379	602	953
Acbd6	606	464	470	519	648	259	350	280	294	291	1158	1450
Acbd7	0	0	0	0	0	0	0	1	2	0	1	0
Accs	100	67	106	107	161	121	129	89	65	152	81	91
Accsl	3	0	3	0	1	0	1	0	0	0	0	0
Acd	1212	968	768	949	1240	626	657	504	560	589	1593	1820
Ace	0	0	0	0	0	0	0	0	0	0	0	1
Ace2	0	0	0	0	0	0	0	0	0	0	0	0
Ace3	1	0	0	0	0	0	0	0	0	0	0	0
Acer1	5	5	8	2	10	5	2	1	4	3	16	19
Acer2	193	198	131	240	173	198	127	125	143	132	274	370
Acer3	7	5	4	27	3	4	6	8	11	4	3	22
Ache	5	1	1	2	2	2	2	2	0	0	1	7
Acin1	6066	4935	6323	6193	8839	4013	6326	4917	5603	5091	5828	6996
Ackr1	0	0	0	0	0	0	0	0	0	0	0	0
Ackr2	3	3	1	1	1	0	3	0	0	0	0	0
Ackr3	0	0	0	0	0	1	0	0	0	0	0	0
Ackr4	3	10	0	3	4	0	3	4	2	5	0	0
Acly	14184	11969	10213	10364	14640	9427	8647	8673	8929	7826	18084	20803
Acmsd	2	4	4	5	2	0	3	2	2	2	8	7
Acn9	39	65	86	46	99	29	104	91	61	71	52	66
Acnat1	1	0	1	1	1	0	4	0	0	0	0	0
Acnat2	1	0	1	0	0	0	0	0	0	0	0	0
Aco1	941	969	1051	764	1226	651	970	838	930	727	1335	1702
Aco2	13529	11464	10151	9216	11450	8545	11235	9547	7896	7115	11915	14681
Acot1	141	121	175	156	153	81	124	123	66	73	94	99
Acot10	30	30	30	37	26	23	28	30	23	21	16	29
Acot11	22	14	31	21	50	24	58	31	51	31	40	38
Acot12	0	0	0	1	0	0	2	0	0	0	0	0
Acot13	274	370	392	387	428	265	376	356	312	368	285	368
Acot2	273	234	243	270	300	195	221	245	173	135	329	355
Acot3	0	1	0	0	0	1	0	1	0	0	2	1
Acot4	4	2	0	2	4	2	3	2	0	2	8	11
Acot5	1	0	3	0	3	0	0	5	0	0	5	6
Acot6	24	14	19	29	18	29	6	14	32	25	69	77
Acot7	881	689	524	759	934	432	613	487	509	471	1171	1356
Acot8	302	251	244	223	429	212	230	189	244	213	256	331
Acot9	468	366	444	451	502	317	394	283	364	340	514	742
Acox1	441	305	340	355	423	265	290	197	244	284	453	630
Acox2	4	1	1	1	2	1	3	0	2	0	5	1
Acox3	395	456	409	477	742	381	400	265	436	419	554	715
Acoxl	0	0	1	1	0	1	1	1	1	0	1	1
Acp1	904	848	1029	1094	1280	681	807	756	867	731	1026	1357
Acp2	53	25	34	37	61	18	37	18	28	19	61	103
Acp5	400	315	746	261	469	223	720	586	325	427	823	895
Acp6	883	1124	755	617	1082	752	807	718	670	603	1015	1224
Acpp	15	29	26	14	4	7	14	10	21	10	38	50
Acpt	1	0	0	2	2	2	0	2	0	1	3	7
Acr	0	0	0	0	0	0	0	0	0	0	0	0
Acrbp	9	8	7	10	19	3	13	10	10	8	13	14
Acrv1	1	0	0	1	0	0	1	0	3	2	0	1
Acsbg1	73	68	94	64	182	42	70	43	74	43	62	83
Acsbg2	1	2	2	0	3	2	2	8	1	3	4	3
Acsf2	2911	2227	1359	1813	1749	2038	1505	1286	1346	1147	2839	3368
Acsf3	540	454	358	365	506	390	324	269	287	268	935	1030
Acsl1	573	491	870	535	676	390	873	818	540	578	664	876
Acsl3	1658	1803	2345	2049	1675	1731	1707	1716	1586	1662	1125	1707
Acsl4	1482	1290	1660	1140	1387	761	1182	1308	1098	1093	1570	2197
Acsl5	4353	4092	5662	4871	6235	3225	5821	4611	4311	3974	4520	6284
Acsl6	1	0	0	0	0	0	0	0	0	0	0	0
Acsm1	0	0	0	0	0	0	0	0	0	0	0	0
Acsm2	2	1	1	2	0	1	2	2	0	2	3	7
Acsm3	5	17	5	4	11	2	12	14	12	14	16	29
Acsm4	0	1	1	0	1	0	0	0	0	0	1	1
Acsm5	0	0	0	0	0	0	0	0	0	1	0	0
Acss1	2201	2095	1779	1641	1880	1831	1850	1627	1412	1362	4486	4686
Acss2	87	88	96	73	100	47	98	84	62	73	121	165
Acss2os	0	0	0	0	0	0	0	0	0	0	0	0
Acss3	7	3	10	3	5	2	4	4	3	7	10	18
Acta1	569	435	385	459	557	400	460	390	414	432	1881	2108
Acta2	87	76	172	260	371	131	227	134	201	146	36	53
Actb	148136	111368	112026	132389	157548	103974	113762	93014	110698	97281	173042	198976
Actbl2	0	0	0	0	0	0	0	0	0	0	0	0
Actc1	0	1	0	0	0	0	0	0	0	0	0	0
Actg-ps1	360	334	502	863	1136	593	795	561	715	549	1035	1316
Actg1	8880	8676	13880	20418	24636	13455	14942	11842	15859	13479	13646	16905
Actg2	0	0	1	1	3	0	0	0	0	0	2	1
Actl10	12	14	6	6	16	6	12	6	2	14	31	37
Actl11	0	0	0	0	0	0	0	0	0	0	0	0
Actl6a	4492	3324	2395	3309	3286	2511	2044	1821	1848	1864	4247	4597
Actl6b	0	0	0	1	0	0	0	2	0	0	0	1
Actl7a	2	0	0	0	2	0	1	1	0	0	0	8
Actl7b	0	0	0	0	0	0	0	0	0	0	0	0
Actl9	0	0	0	0	0	0	0	0	0	0	0	0
Actn1	16	27	3	7	11	1	3	10	6	6	11	15
Actn2	4	2	14	6	5	4	5	3	4	4	4	6
Actn3	6	5	8	6	2	3	5	7	7	3	2	2
Actn4	10528	8431	6130	8462	9826	6940	4925	3811	4825	5136	7285	8865
Actr10	826	670	668	791	797	537	709	660	566	550	1797	2276
Actr1a	3207	2392	2702	2481	3368	2005	2831	2273	2431	2193	3830	4789
Actr1b	1821	1753	1625	1560	1967	1274	1602	1461	1285	1134	2592	3116
Actr2	5922	4799	6010	5893	5760	4569	5720	5544	5153	5001	7891	10241
Actr3	6612	5767	7574	9129	9271	5891	6476	6069	6415	6558	5977	7811
Actr3b	168	224	39	110	158	117	36	40	59	36	98	140
Actr5	1186	921	973	833	1188	603	556	590	601	557	1681	1933
Actr6	249	229	282	278	267	188	290	310	242	236	342	502
Actr8	781	609	682	701	805	441	660	544	516	469	909	1295
Actrt1	0	0	0	0	0	0	0	0	0	0	0	0
Actrt3	0	0	1	0	0	0	0	0	1	0	0	0
Acvr1	1	0	2	0	2	0	4	0	3	2	1	5
Acvr1b	350	295	366	347	498	307	355	251	296	280	726	866
Acvr1c	0	1	1	1	0	0	0	0	0	0	0	0
Acvr2a	118	93	207	140	145	51	143	149	172	121	148	190
Acvr2b	91	80	77	85	119	70	99	80	103	81	383	498
Acvrl1	4	7	1	4	8	11	1	2	1	3	5	17
Acy1	1059	1059	876	940	1277	846	593	536	812	636	2280	2444
Acy3	13	18	1	7	0	1	2	7	3	0	25	24
Acyp1	394	526	374	347	446	309	382	352	268	345	349	456
Acyp2	38	24	32	9	16	10	21	29	22	25	18	20
Ada	722	454	400	648	644	540	339	392	523	425	728	947
Adad1	0	0	0	0	2	0	0	1	0	0	0	0
Adad2	0	0	0	0	0	0	0	0	0	0	0	0
Adal	244	212	360	299	297	141	318	328	254	235	216	338
Adam10	2570	2693	3638	3696	3258	2093	3367	2965	2460	2669	2095	2996
Adam11	0	0	2	1	1	0	0	0	1	0	0	0
Adam12	0	0	0	3	0	0	0	0	0	0	2	0
Adam15	184	189	166	255	344	177	157	136	185	194	356	432
Adam17	1762	1892	2531	2488	2480	1386	2221	1818	1570	1567	2330	3238
Adam18	1	0	3	1	1	0	0	1	0	0	0	1
Adam19	5250	3425	3627	3004	4186	2711	4502	3369	2447	3039	4141	4869
Adam1a	14	11	10	13	14	8	17	16	5	15	16	14
Adam1b	7	5	2	2	2	1	3	5	1	1	8	5
Adam2	0	0	0	0	0	0	0	0	0	0	0	0
Adam20	0	1	0	0	0	0	0	0	0	0	0	0
Adam21	2	2	3	0	0	0	0	0	1	0	2	2
Adam22	0	4	2	3	3	2	5	0	0	2	2	7
Adam23	3	0	0	2	0	0	0	0	0	1	0	0
Adam24	1	1	2	0	0	0	0	1	0	0	0	0
Adam25	1	0	0	0	0	0	0	0	0	0	0	0
Adam26a	0	2	0	0	0	0	0	0	0	0	0	0
Adam26b	1	0	0	0	0	0	0	0	0	0	0	0
Adam28	17	12	10	4	20	7	11	11	8	6	44	54
Adam29	0	0	0	0	0	0	0	0	0	0	0	0
Adam3	10	7	48	11	37	5	36	33	45	29	18	20
Adam30	0	1	0	0	0	1	0	0	0	0	0	0
Adam32	0	0	0	0	2	0	0	0	0	1	0	0
Adam33	1	1	0	0	1	0	0	0	0	0	0	1
Adam34	0	0	0	0	0	0	0	0	0	0	0	0
Adam39	1	0	0	0	0	0	0	0	0	0	0	0
Adam4	10	8	8	6	8	11	13	5	4	3	15	13
Adam5	0	0	0	0	0	0	0	0	0	0	0	0
Adam7	1	0	0	0	0	0	1	0	0	0	0	0
Adam8	2	3	6	4	1	4	3	4	2	4	8	6
Adam9	438	382	707	383	685	305	935	618	476	428	446	615
Adamdec1	0	0	0	0	0	0	0	0	0	0	0	0
Adamts1	1	0	0	0	0	0	0	0	0	0	0	0
Adamts10	173	188	214	202	349	197	252	157	162	195	349	480
Adamts12	0	1	0	0	0	0	0	0	0	0	0	0
Adamts13	17	16	12	18	21	10	13	13	10	25	73	109
Adamts14	83	56	68	58	80	78	73	61	71	83	115	146
Adamts15	2	0	2	5	3	0	0	1	0	1	5	4
Adamts16	0	0	0	0	0	0	0	0	0	0	0	0
Adamts17	2	0	1	0	0	0	0	0	0	1	0	1
Adamts18	0	0	0	0	0	0	0	0	0	0	0	0
Adamts19	0	0	1	0	0	0	0	0	0	0	0	0
Adamts2	13	13	19	10	21	7	13	6	6	6	18	23
Adamts20	2	0	2	0	0	0	0	1	0	0	0	0
Adamts3	0	0	0	0	0	0	0	0	1	0	0	0
Adamts4	2	1	0	0	3	0	1	1	0	2	2	0
Adamts5	0	0	2	1	0	0	0	0	0	0	0	0
Adamts6	35	76	53	88	77	62	62	31	32	38	97	107
Adamts7	2	1	4	0	0	0	0	0	0	0	0	0
Adamts8	2	0	3	1	1	3	0	0	0	0	1	6
Adamts9	1	0	0	0	1	0	0	0	1	0	0	0
Adamtsl1	0	0	0	0	0	0	0	0	0	0	0	0
Adamtsl2	1	0	11	2	4	0	16	5	2	5	4	2
Adamtsl3	1	0	3	0	1	0	0	0	0	0	0	0
Adamtsl4	52	60	23	33	49	50	13	14	23	26	62	83
Adamtsl5	0	1	2	0	0	0	1	0	0	1	0	0
Adap1	2371	1631	1370	1299	1779	940	1320	990	992	910	3333	4259
Adap2	0	1	0	0	0	0	0	0	0	0	0	0
Adap2os	0	0	0	0	0	0	0	0	0	1	0	0
Adar	1869	1232	980	1750	2271	1256	907	786	894	955	2509	3236
Adarb1	1499	1278	1016	1691	2151	1104	957	817	1445	967	2228	2824
Adarb2	486	352	443	397	521	278	405	373	395	347	426	554
Adat1	540	436	334	481	556	362	416	296	269	288	482	580
Adat2	97	102	81	116	175	71	86	83	83	57	136	178
Adat3	259	154	147	142	181	83	56	55	66	61	665	785
Adck1	396	314	292	281	348	273	271	245	277	193	785	916
Adck2	118	109	193	119	293	116	202	116	167	134	153	233
Adck3	301	296	237	295	526	302	229	191	275	225	293	406
Adck4	551	565	370	434	469	431	260	275	291	293	774	864
Adck5	304	239	180	220	269	170	149	115	120	169	453	547
Adcy1	1	1	0	1	0	0	1	0	0	0	0	0
Adcy10	0	0	1	1	1	1	1	0	0	0	0	0
Adcy2	0	0	0	0	0	0	0	0	0	0	0	0
Adcy3	526	503	195	518	367	500	168	178	186	164	738	883
Adcy4	0	0	3	0	0	0	0	0	1	0	0	0
Adcy5	5	5	1	2	8	0	1	2	0	1	7	7
Adcy6	0	0	1	0	2	0	1	0	0	2	0	13
Adcy7	1614	1133	1529	1336	1612	1028	1432	1172	1119	1142	2637	3157
Adcy8	0	0	0	0	1	0	0	1	0	0	0	0
Adcy9	184	183	145	163	253	153	200	120	116	95	234	320
Adcyap1	0	0	0	0	0	0	0	0	0	0	0	0
Adcyap1r1	3	1	2	3	5	5	5	7	6	5	1	6
Add1	2884	2987	2659	3359	4606	2623	2568	2057	2686	2474	2775	3674
Add2	0	0	0	0	0	0	0	0	0	0	0	0
Add3	2815	2452	2796	3314	3575	2027	2511	2109	1953	1827	2852	3529
Adgb	0	0	0	1	0	0	0	2	3	0	0	0
Adh1	0	0	0	2	0	2	0	0	0	0	0	0
Adh4	0	0	0	0	0	0	0	0	0	0	0	0
Adh5	7361	5246	3920	5739	6111	4711	3254	3195	3268	3451	5025	5803
Adh6-ps1	1	0	0	2	0	1	0	1	0	0	0	0
Adh6a	0	0	0	0	0	0	0	0	0	0	0	0
Adh6b	0	0	0	0	0	0	0	0	0	0	0	0
Adh7	0	0	1	0	0	1	0	0	0	0	0	0
Adhfe1	5	5	2	3	1	2	3	3	1	6	5	4
Adi1	1560	1384	1167	1620	1833	1239	1655	1443	1374	1230	1596	2049
Adig	2	0	0	0	0	0	0	0	0	0	0	0
Adipoq	4	5	8	2	10	2	10	14	15	5	6	7
Adipor1	2510	2025	1821	2218	2897	1640	2106	1600	1667	1788	3908	5020
Adipor2	2696	2822	4417	2731	5342	2283	4981	4368	4363	3525	3560	5025
Adk	1997	1542	1597	1843	1823	1179	1089	1140	1277	1048	2682	3510
Adm	100	184	38	21	15	113	45	32	15	30	50	65
Adm2	13	3	2	5	4	6	4	0	9	2	5	12
Adnp	29	28	28	30	33	10	13	22	14	16	62	75
Adnp2	903	657	1006	885	1190	613	909	716	944	692	1261	1768
Ado	1148	1023	1122	1268	1368	559	787	709	642	559	1906	2242
Adora1	0	0	0	0	0	0	0	0	0	0	0	0
Adora2a	1	1	4	6	5	0	10	4	1	6	8	15
Adora2b	0	0	11	0	0	2	19	10	0	7	2	3
Adora3	3	4	1	1	0	2	0	0	0	0	2	4
Adpgk	816	799	731	651	985	561	902	612	734	515	1553	1977
Adprh	899	801	777	672	969	491	691	589	594	489	1540	1618
Adprhl1	0	0	0	3	0	0	0	3	0	0	0	0
Adprhl2	1141	1102	933	838	1371	639	745	642	789	673	1919	2204
Adprm	194	198	219	241	236	116	190	157	154	174	200	263
Adra1a	1	4	4	3	1	2	2	0	2	0	1	1
Adra1b	0	0	0	0	0	1	1	2	0	0	1	3
Adra1d	0	0	0	0	0	0	0	0	0	0	0	0
Adra2a	0	1	10	1	0	0	9	1	2	3	3	3
Adra2b	0	0	0	0	0	0	0	0	0	0	2	3
Adra2c	0	0	1	0	0	0	0	0	0	0	1	0
Adrb1	0	1	0	0	0	0	0	0	0	0	0	0
Adrb2	60	69	133	99	131	60	126	112	100	112	138	203
Adrb3	0	0	1	0	1	0	1	0	0	0	0	0
Adrbk1	19032	13164	12727	13895	18688	10244	13513	10168	10692	9702	24716	30191
Adrbk2	1	1	2	1	1	0	0	1	1	0	0	0
Adrm1	2919	2257	2195	2155	2931	1292	1805	1592	1408	1346	3189	3382
Adsl	3441	2649	2056	2687	3493	2435	2400	2026	2038	1745	3343	4188
Adss	2839	2559	3023	3252	3153	2003	1880	1977	2142	2224	2578	3378
Adssl1	302	272	443	150	439	245	441	439	246	320	485	603
Adtrp	22	16	21	12	25	15	18	13	35	24	0	1
Aebp1	19	19	5	14	19	29	27	21	7	8	35	43
Aebp2	1586	1234	2891	1938	3093	923	2486	2168	2056	1631	1702	2362
Aen	2418	1551	2016	1925	2509	1172	2065	1514	1501	1359	2336	2785
Aes	1690	2008	2353	1977	4090	1249	2302	1594	1940	1829	2156	2605
AF067061	1	0	2	0	0	0	0	0	0	0	0	0
AF251705	0	0	0	0	0	0	0	0	0	0	0	0
AF357399	3	0	6	0	3	2	4	0	0	8	10	13
AF366264	5	4	0	5	2	0	0	3	1	0	0	1
AF529169	5	0	4	6	2	0	2	0	3	5	0	0
Afap1	576	712	642	854	807	663	648	422	408	421	474	520
Afap1l1	0	0	0	0	0	0	0	0	0	0	1	1
Afap1l2	0	0	2	2	0	0	1	0	0	0	0	0
Aff1	5194	4981	6542	4992	7849	3515	6297	4518	4647	4587	5304	7123
Aff2	2	8	4	7	7	4	7	3	2	3	3	9
Aff3	3269	2459	3145	3407	4258	2579	2469	1999	2225	2325	2852	3712
Aff4	1091	1078	1216	1574	1396	977	1185	997	903	933	1073	1553
Afg3l1	2176	2330	1854	2020	2439	1549	2014	1771	1508	1213	3707	4574
Afg3l2	2099	1690	1789	1918	2303	1319	2056	1533	1497	1191	2367	3212
Afm	0	0	0	2	0	0	0	0	0	0	0	0
Afmid	54	59	35	58	86	49	41	33	43	33	146	167
Afp	0	0	1	0	0	0	0	0	0	0	0	0
Aftph	1414	1160	1757	1792	1953	1006	1701	1501	1574	1736	1372	1866
Aga	198	194	205	204	291	145	217	221	156	166	155	210
Agap1	1	0	0	1	3	0	0	1	1	0	3	3
Agap2	1391	1043	1599	1571	2342	870	1009	969	1306	1002	1678	1961
Agap3	3183	3431	2210	2875	3435	1364	1629	1144	1455	1370	3592	4133
Agbl1	7	4	7	1	5	1	2	8	11	6	0	1
Agbl2	33	38	49	33	38	18	30	30	21	26	21	26
Agbl3	20	26	21	7	15	7	15	15	5	7	25	34
Agbl4	1	0	0	0	0	0	0	0	0	1	0	0
Agbl5	511	633	428	575	669	343	348	333	298	326	750	918
Ager	2	5	8	5	12	0	10	8	5	9	3	13
Agfg1	2130	1881	2205	2403	2667	1716	1508	1391	1506	1541	1792	2475
Agfg2	1280	919	737	671	891	471	493	451	469	498	2116	2559
Aggf1	979	924	1386	1397	1533	713	1376	1068	886	878	1514	2152
Agk	1105	1072	1439	856	1538	643	1634	1369	1267	960	1199	1618
Agl	758	612	647	678	754	447	559	465	340	422	654	810
Agmat	1	2	0	0	0	0	0	0	0	0	0	2
Agmo	0	2	0	2	0	0	0	0	0	0	3	2
Ago1	1430	1308	1773	1730	2361	1141	2269	1616	1705	1406	1945	2650
Ago2	7425	5700	6654	6893	9222	4915	7478	5609	6514	5659	9514	12068
Ago3	385	272	487	497	462	292	499	352	355	382	526	783
Ago4	178	163	184	166	222	150	185	113	176	131	193	278
Agpat1	969	851	814	969	1378	639	737	557	720	638	1205	1346
Agpat2	153	108	68	248	198	107	114	68	83	114	319	330
Agpat3	1032	894	932	810	1206	589	805	678	549	698	1364	1493
Agpat4	14	13	37	4	60	14	55	34	52	37	32	31
Agpat5	925	776	1014	1130	1085	528	847	532	559	584	1218	1543
Agpat6	1723	1661	1832	2106	2748	1231	2133	1484	1532	1256	1842	2591
Agpat9	167	183	145	20	48	69	146	137	50	116	285	385
Agps	1568	1314	2243	2240	2292	1170	2035	1833	1699	1624	1990	2829
Agr2	0	0	0	0	1	0	0	0	0	0	0	0
Agr3	0	0	0	0	0	0	0	0	0	0	0	0
Agrn	39	45	201	80	164	33	185	149	72	103	174	224
Agrp	18	21	7	18	17	13	10	9	13	20	10	16
Agt	0	0	0	0	0	0	0	0	0	0	0	0
Agtpbp1	671	566	581	649	644	428	570	408	420	423	487	666
Agtr1a	0	0	0	0	0	0	0	0	0	0	0	0
Agtr1b	0	1	0	0	0	0	0	0	0	0	0	0
Agtr2	1	0	0	1	0	0	0	0	0	0	0	0
Agtrap	145	100	152	151	246	107	218	169	118	128	234	340
Agxt	0	0	1	0	0	0	0	0	0	0	0	0
Agxt2	0	0	0	0	0	0	0	0	0	0	0	0
Ahctf1	6262	5723	6435	7297	7651	4744	5294	4967	5460	5818	6109	8679
Ahcy	10642	7237	6048	6852	9225	5963	5161	4897	6175	5193	13612	14545
Ahcyl1	6384	5348	3581	5833	5449	4492	3420	3012	3110	3389	6026	7741
Ahcyl2	89	119	203	147	257	126	221	222	234	184	363	441
Ahdc1	601	652	861	621	991	380	515	374	363	380	796	948
Ahi1	215	121	155	134	207	86	153	99	99	107	135	166
Ahnak	199	84	1163	163	518	241	1534	741	565	881	141	206
Ahnak2	0	0	0	1	2	1	0	0	0	0	0	0
Ahr	1	0	1	0	1	2	0	0	1	0	0	0
Ahrr	6	3	4	6	2	1	5	5	9	2	1	6
Ahsa1	7796	5884	6962	7618	8510	5760	7631	6316	5583	4892	6231	7578
Ahsa2	198	167	179	221	281	149	232	194	136	173	303	411
AI115009	0	0	0	1	0	0	0	0	0	0	0	0
AI118078	0	0	2	2	0	0	2	0	0	0	1	0
AI182371	0	3	4	1	5	3	0	1	2	2	1	0
AI314180	9341	8317	12547	10823	10832	7032	9662	9686	8502	8887	10948	14215
AI317395	2	0	1	0	2	0	0	0	0	1	1	3
